City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,remire-montjoly,4.9167,-52.2667,24.02,100,20,0.51,GF,1719641594
311,barra de santo antonio,-9.4047,-35.5072,20.6,85,100,2.36,BR,1719641595
312,taoudenni,22.6783,-3.9836,35.01,10,1,7.82,ML,1719641597
313,prado,-17.3411,-39.2208,21.31,92,22,3.85,BR,1719641599
314,karabash,55.4808,60.2157,7.44,97,100,6.01,RU,1719641600
315,nieuw amsterdam,5.8833,-55.0833,24.8,89,14,3.07,SR,1719641602
316,rahimah,26.7079,50.0619,41.12,33,4,3.95,SA,1719641604
317,dapa,9.7594,126.0531,29.13,70,99,0.88,PH,1719641605
318,santa elena de uairen,4.6167,-61.1333,18.34,96,100,0.95,VE,1719641607
319,neftekamsk,56.092,54.2703,15.71,57,0,8.26,RU,1719641609
320,cabo san lucas,22.8909,-109.9124,29.23,68,20,6.66,MX,1719641358
321,princeville,45.7668,-61.2985,11.29,97,0,1.54,CA,1719641612
322,wafangdian,39.6183,122.0081,26.3,66,88,7.24,CN,1719641614
323,saguenay,48.4168,-71.0657,16.46,75,100,2.57,CA,1719641616
324,dobroslav,46.8194,30.9432,26.1,39,5,4.21,UA,1719641617
325,tofol,5.3248,163.0078,28.23,76,84,3.67,FM,1719641619
326,kulhudhuffushi,6.6221,73.07,28.19,77,36,4.61,MV,1719641621
327,westport,41.1415,-73.3579,18.34,71,20,2.06,US,1719641622
328,cafayate,-26.073,-65.9761,6.48,66,49,1.63,AR,1719641624
329,nuevo casas grandes,30.4167,-107.9167,25.74,52,100,2.76,MX,1719641626
330,broome,42.2506,-75.833,19.26,81,75,4.02,US,1719641627
331,inverloch,-38.6333,145.7167,9.47,86,100,7.42,AU,1719641629
332,new shagunnu,10.3396,4.4688,26.64,80,69,3.77,NG,1719641631
333,ulsteinvik,62.3432,5.8487,12.4,86,100,7.6,NO,1719641632
334,yanta,36.2411,115.6672,31.92,42,76,4.15,CN,1719641634
335,new norfolk,-42.7826,147.0587,11.72,87,85,7.14,AU,1719641636
336,san carlos del zulia,9.0,-71.9135,22.97,96,49,1.55,VE,1719641638
337,bandarbeyla,9.4942,50.8122,30.64,43,88,14.86,SO,1719641639
338,guerrero negro,27.9769,-114.0611,18.77,86,1,4.01,MX,1719641641
339,inyati,-19.6756,28.8469,10.53,69,2,4.01,ZW,1719641643
340,adam,22.3756,57.5233,36.13,32,99,3.45,OM,1719641644
341,mangai,-4.05,19.5333,20.85,37,75,0.5,CD,1719641646
342,kenai,60.5544,-151.2583,13.05,85,0,3.6,US,1719641648
343,hohhot,40.8106,111.6522,28.84,29,32,2.24,CN,1719641649
344,yigo village,13.5361,144.8886,30.62,76,75,5.66,GU,1719641651
345,vernon,50.2581,-119.2691,20.16,67,46,1.54,CA,1719641653
346,zvishavane,-20.3267,30.0665,11.59,75,0,1.26,ZW,1719641654
347,guangyuan,32.442,105.823,32.56,47,98,2.61,CN,1719641656
348,hammerfest,70.6634,23.6821,13.25,82,80,6.17,NO,1719641660
349,saint-philippe,-21.3585,55.7679,23.77,64,50,4.87,RE,1719641663
350,nova vicosa,-17.8919,-39.3719,21.42,92,37,3.05,BR,1719641665
351,harstad,68.799,16.5293,22.36,67,84,4.47,NO,1719641668
352,koundara,12.4833,-13.3,24.75,89,89,2.47,GN,1719641670
353,natal,-5.795,-35.2094,22.36,94,20,2.06,BR,1719641672
354,heroica caborca,30.7167,-112.15,31.12,43,12,8.13,MX,1719641673
355,santiago,-33.4569,-70.6483,10.65,72,20,1.96,CL,1719641631
356,nar'yan-mar,67.6713,53.087,12.21,77,100,7.85,RU,1719641677
357,al ghayzah,16.2079,52.176,31.46,67,100,4.04,YE,1719641678
358,ust-nera,64.5667,143.2,14.16,50,100,2.27,RU,1719641680
359,neosho,36.869,-94.368,28.56,84,94,7.12,US,1719641682
360,antsohihy,-14.8796,47.9875,25.99,41,16,5.26,MG,1719641683
361,tavira,37.1273,-7.6486,18.93,73,80,1.79,PT,1719641685
362,khash,28.2211,61.2158,34.93,15,100,1.09,IR,1719641687
363,shenjiamen,29.9576,122.298,25.68,88,100,10.4,CN,1719641689
